word,disgust,surprise,neutral,anger,sad,happy,fear
ability , 0.004464286 , 0.047831636 , 6.3775515E-4 , 0.023596939 , 0.013392858 , 0.015943877 , 0.04017858
able , 1.7322194E-5 , 1.823925E-4 , 4.0859997E-4 , 1.762788E-4 , 2.190748E-4 , 2.4352966E-4 , 1.8646833E-4
abuse , 5.317264E-4 , 1.7724212E-4 , 1.7724212E-4 , 0.13736264 , 0.0012406948 , 0.0015951791 , 0.002658632
academy , 0.0071428576 , 0.021428574 , 0.0071428576 , 0.0071428576 , 0.0071428576 , 0.092857145 , 0.035714287
accept , 0.008270677 , 0.0067669176 , 7.5187976E-4 , 0.048872184 , 0.018796993 , 0.024812032 , 0.038345866
acceptance , 0.002747253 , 0.008241759 , 0.002747253 , 0.013736265 , 0.024725277 , 0.09065934 , 0.013736265
accounting , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.08928572 , 0.017857144
accuracy , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
achieve , 0.0013824885 , 0.004147466 , 4.608295E-4 , 0.0050691245 , 0.0069124424 , 0.12211982 , 0.0050691245
acid , 0.017857144 , 0.017857144 , 0.017857144 , 0.017857144 , 0.125 , 0.017857144 , 0.017857144
active , 0.0023809527 , 0.035714287 , 0.0023809527 , 0.026190478 , 0.05 , 0.026190478 , 0.011904763
activities , 3.1466332E-6 , 3.4612967E-5 , 0.0012618 , 4.7199497E-5 , 5.9786034E-5 , 2.2026434E-5 , 1.5733165E-5
adding , 0.0032467535 , 0.0487013 , 0.0032467535 , 0.022727275 , 0.016233768 , 0.02922078 , 0.035714287
addresses , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
administrator , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
adobe , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287
adult , 0.0018796993 , 0.05075188 , 0.0018796993 , 0.028195491 , 0.020676693 , 0.013157894 , 0.035714287
adults , 0.014285715 , 0.042857148 , 0.0047619054 , 0.033333335 , 0.014285715 , 0.023809526 , 0.033333335
